epoch,train_loss,val_loss,lr,epoch_time_sec
1,0.0003263393858884781,7.513558218571678e-05,0.0003,64.62
2,8.391022752128e-05,8.472025807818979e-05,0.0003,60.89
3,6.600454892574695e-05,6.157967835714112e-05,0.0003,61.12
4,5.72287716398481e-05,7.02673461982305e-05,0.0003,60.92
5,4.978912150337295e-05,6.464905863098048e-05,0.0003,60.41
6,4.516107618874818e-05,5.214828094250242e-05,0.0003,60.9
7,4.208332571478129e-05,5.372023813293022e-05,0.0003,61.11
8,3.987822544955912e-05,3.367383698922631e-05,0.0003,61.09
9,3.791113180231235e-05,4.850329097584906e-05,0.0003,60.54
10,3.5124180628008716e-05,3.654858896766125e-05,0.0003,60.71
11,3.465144942692393e-05,3.713133236463977e-05,0.0003,60.37
12,3.265085891735498e-05,2.9915725197550808e-05,0.0003,62.26
13,3.2088279078386894e-05,3.7903215360187324e-05,0.0003,64.26
14,3.120693909351245e-05,3.244684164439872e-05,0.0003,63.42
15,3.0080992039756796e-05,2.4261268373658386e-05,0.0003,63.67
16,2.938000581111035e-05,2.767416367229573e-05,0.0003,63.57
17,2.8909305256709792e-05,3.1344693422396214e-05,0.0003,62.25
18,2.8307161614049897e-05,2.623534634698641e-05,0.0003,62.73
19,2.8070790834735044e-05,2.5729437368584733e-05,0.0003,62.17
20,2.7428040009401037e-05,3.0831685302551404e-05,0.0003,63.91
21,2.69570915004048e-05,2.5786485350827227e-05,0.0003,60.87
22,2.663856496298161e-05,2.3897408573605035e-05,0.0003,60.0
23,2.63927457101747e-05,2.268959112667947e-05,0.0003,60.9
24,2.587762695883859e-05,2.913359154738258e-05,0.0003,62.95
25,2.588426304928637e-05,2.3563328558031664e-05,0.0003,61.23
26,2.5291565164362997e-05,2.7889911528705835e-05,0.0003,60.83
27,2.523294608378478e-05,2.5463418177015104e-05,0.0003,62.48
28,2.5244763216982497e-05,2.607348990845957e-05,0.0003,62.72
29,2.4535554682335946e-05,2.5523436893344764e-05,0.0003,65.12
30,2.453162230807858e-05,2.7558793609789602e-05,0.0003,63.01
31,2.420024195470764e-05,2.471802960474154e-05,0.0003,62.54
32,2.415401856691797e-05,2.1445420135322673e-05,0.0003,63.62
33,2.3887702349270323e-05,2.139799569153339e-05,0.0003,61.56
34,2.358657625802218e-05,2.2818357745373585e-05,0.0003,60.59
35,2.3521079225193623e-05,2.310548936482229e-05,0.0003,60.1
36,2.331262255092226e-05,2.370204009490801e-05,0.0003,61.51
37,2.3176146448973387e-05,2.4006697883998594e-05,0.0003,63.4
38,2.293897031491068e-05,2.268472484742101e-05,0.0003,61.8
39,2.2731733529069696e-05,2.2362608097357625e-05,0.0003,59.38
40,2.2700676199675727e-05,2.2540133298612465e-05,0.0003,58.92
